0.000000   100.000000   new 1567.099033 100.000000
13563650.331959 99.999999    new 13564542.244750 99.999999 
13566609.410746 99.999999    new 13566106.069829 99.999999 
13568173.046093 99.999999    new 13587636.097743 99.999999 
13589702.295233 99.999999    new 13589199.790074 99.999999 
13591265.928264 99.999999    new 13649961.931327 99.999999 
13652026.523012 99.999999    new 13651525.606895 99.999999 
13653590.158830 99.999999    new 13661475.212734 99.999999 
13663539.386668 99.999999    new 13663041.932563 99.999999 
13665106.103205 99.999999    new 13825584.285801 99.999999 
13827656.386779 99.999999    new 13827147.921798 99.999999 
13829220.019593 99.999999    new 13836183.222371 99.999999 
13838255.587815 99.999999    new 13837746.811550 99.999999 
13839819.223130 99.999999    new 13852505.195624 99.999999 
13854576.413726 99.999999    new 13854068.957825 99.999999 
13856140.049522 99.999999    new 13895682.998489 99.999999 
13897756.278104 99.999999    new 13897246.551584 99.999999 
13899319.913677 99.999999    new 13910312.171787 99.999999 
13912408.732738 99.999999    new 13911831.292257 99.999999 
13913931.091555 99.999999    new 13915470.460990 99.999999 
13917572.795736 99.999999    new 13917034.076238 99.999999 
13919136.432234 99.999999    new 13925632.653715 99.999999 
13927759.218095 99.999999    new 13927191.896041 99.999999 
13929322.853859 99.999999    new 13930630.279734 99.999999 
13932760.632270 99.999999    new 13932194.190764 99.999999 
13934324.267616 99.999999    new 13952725.212689 99.999999 
13954878.245934 99.999999    new 13954245.637232 99.999999 
13956400.601345 99.999999    new 13956517.472021 99.999999 
13958700.463790 99.999999    new 13958080.827886 99.999999 
13960264.099600 99.999999    new 13967322.557373 99.999999 
13969504.824803 99.999999    new 13968886.362949 99.999999 
13971068.460704 99.999999    new 14073655.133730 99.999999 
14075836.938622 99.999999    new 14075218.773635 99.999999 
14077400.571843 99.999999    new 14079142.744266 99.999999 
14081346.009178 99.999999    new 14080697.869559 99.999999 
14082909.645001 99.999999    new 14091980.570845 99.999999 
14094190.242166 99.999999    new 14093544.498262 99.999999 
14095753.878009 99.999999    new 14103440.762195 99.999999 
14105648.274423 99.999999    new 14105004.692945 99.999999 
14107211.909997 99.999999    new 14113318.176076 99.999999 
14115524.187062 99.999999    new 14114882.038120 99.999999 
14117087.822759 99.999999    new 14119701.828859 99.999999 
14121929.670945 99.999999    new 14121258.338760 99.999999 
14123493.306260 99.999999    new 14131933.692710 99.999999 
14134190.465688 99.999999    new 14133494.137995 99.999999 
14135754.101261 99.999999    new 14142334.747575 99.999999 
14144594.985199 99.999999    new 14143898.334542 99.999999 
14146158.620772 99.999999    new 14154386.973202 99.999999 
14156670.952979 99.999999    new 14155947.081348 99.999999 
14158234.588643 99.999999    new 14165583.017521 99.999999 
14167869.613482 99.999999    new 14167146.801434 99.999999 
14169433.246708 99.999999    new 14177882.126908 99.999999 
14180168.604910 99.999999    new 14179445.757536 99.999999 
14181732.240680 99.999999    new 14219829.225665 99.999999 
14222118.751574 99.999999    new 14221392.742992 99.999999 
14223682.386993 99.999999    new 14243996.688699 99.999999 
14246286.709290 99.999999    new 14245560.298075 99.999999 
14247850.344546 99.999999    new 14254006.902286 99.999999 
14256296.931281 99.999999    new 14255570.541037 99.999999 
14257860.564105 99.999999    new 14278865.499009 99.999999 
14281156.139410 99.999999    new 14280429.093114 99.999999 
14282719.775179 99.999999    new 14286225.888919 99.999999 
14288515.941807 99.999999    new 14287789.693284 99.999999 
14290079.577545 99.999999    new 14315784.948271 99.999999 
14318096.862084 99.999999    new 14317347.351875 99.999999 
14319660.495127 99.999999    new 14324945.646483 99.999999 
14327258.112731 99.999999    new 14326509.421955 99.999999 
14328821.745682 99.999999    new 14330371.077783 99.999999 
14332683.395276 99.999999    new 14331934.716534 99.999999 
14334247.028201 99.999999    new 14340432.163433 99.999999 
14342744.752207 99.999999    new 14341995.748407 99.999999 
14344308.384840 99.999999    new 14351547.868234 99.999999 
14353883.032207 99.999999    new 14353107.822266 99.999999 
14355446.668023 99.999999    new 14362053.731098 99.999999 
14364391.053839 99.999999    new 14363617.632998 99.999999 
14365954.689291 99.999999    new 14367156.806549 99.999999 
14369492.888276 99.999999    new 14368720.871197 99.999999 
14371056.523940 99.999999    new 14372501.255838 99.999999 
14374835.616764 99.999999    new 14374065.425914 99.999999 
14376399.252475 99.999999    new 14404591.568535 99.999999 
14406925.251319 99.999999    new 14406155.211344 99.999999 
14408488.886983 99.999999    new 14415343.249450 99.999999 
14417675.396002 99.999999    new 14416907.145365 99.999999 
14419239.031258 99.999999    new 14423035.258312 99.999999 
14425359.878843 99.999999    new 14424600.750695 99.999999 
14426923.514190 99.999999    new 14430373.482703 99.999999 
14432720.916817 99.999999    new 14431888.231926 99.999999 
14434243.272534 99.999999    new 14435636.550651 99.999999 
14437993.408143 99.999999    new 14437200.921187 99.999999 
14439557.043562 99.999999    new 14443450.825545 99.999999 
14445805.421590 99.999999    new 14445014.843122 99.999999 
14447369.057138 99.999999    new 14456469.897916 99.999999 
14458824.008444 99.999999    new 14458033.547518 99.999999 
14460387.643667 99.999999    new 14466105.419662 99.999999 
14468458.414584 99.999999    new 14467669.268605 99.999999 
14470022.050190 99.999999    new 14479367.621396 99.999999 
14481717.891708 99.999999    new 14480931.592882 99.999999 
14483281.526996 99.999999    new 14490185.274917 99.999999 
14492535.189560 99.999999    new 14491748.913668 99.999999 
14494098.824743 99.999999    new 14495528.333880 99.999999 
14497878.532603 99.999999    new 14497091.850420 99.999999 
14499442.168241 99.999999    new 14506652.227577 99.999999 
14509002.643863 99.999999    new 14508215.846805 99.999999 
14510566.276788 99.999999    new 14518175.190314 99.999999 
14520519.817805 99.999999    new 14519739.738008 99.999999 
14522083.453352 99.999999    new 14523357.104622 99.999999 
14525700.514172 99.999999    new 14524920.872055 99.999999 
